model,threshold,accuracy,precision,recall,f1,f2,mcc,auc_roc,auc_pr,TP,FP,TN,FN,run_id,cut_year,apply_smote,smote_strategy,rf_n_estimators,rf_max_depth,rf_min_samples_leaf,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_subsample,ada_n_estimators,ada_learning_rate,rus_n_estimators,rus_learning_rate
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run017,2010,True,0.2,300,10,2,100,6,0.1,0.8,100,0.1,100,0.1
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run017,2010,True,0.2,300,10,2,100,6,0.1,0.8,100,0.1,100,0.1
RandomForest,0.3,0.936411149825784,0.9396325459317585,0.9962894248608535,0.9671319225574065,0.9844179651695693,0.038426990548543545,0.682454280413464,0.9626064346145142,1074,69,1,4,run017,2010,True,0.2,300,10,2,100,6,0.1,0.8,100,0.1,100,0.1
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run018,2010,True,0.2,300,13,2,100,6,0.1,0.8,100,0.1,100,0.1
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run018,2010,True,0.2,300,13,2,100,6,0.1,0.8,100,0.1,100,0.1
RandomForest,0.3,0.9390243902439024,0.9397905759162304,0.9990723562152134,0.9685251798561151,0.9866251374129718,0.07664694070041267,0.669010071561092,0.9579672662381826,1077,69,1,1,run018,2010,True,0.2,300,13,2,100,6,0.1,0.8,100,0.1,100,0.1
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run019,2010,True,0.2,400,7,2,100,6,0.1,0.8,100,0.1,100,0.1
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run019,2010,True,0.2,400,7,2,100,6,0.1,0.8,100,0.1,100,0.1
RandomForest,0.3,0.9372822299651568,0.9412280701754386,0.9953617810760668,0.9675383228133454,0.9840425531914894,0.10993587476152072,0.7189371852637159,0.9647218989098281,1073,67,3,5,run019,2010,True,0.2,400,7,2,100,6,0.1,0.8,100,0.1,100,0.1
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run020,2010,True,0.2,400,10,2,100,6,0.1,0.8,100,0.1,100,0.1
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run020,2010,True,0.2,400,10,2,100,6,0.1,0.8,100,0.1,100,0.1
RandomForest,0.3,0.9372822299651568,0.9396853146853147,0.9972170686456401,0.9675967596759676,0.9851539589442815,0.046710908791103796,0.6783196395441293,0.9616341925852345,1075,69,1,3,run020,2010,True,0.2,400,10,2,100,6,0.1,0.8,100,0.1,100,0.1
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run021,2010,True,0.2,400,13,2,100,6,0.1,0.8,100,0.1,100,0.1
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run021,2010,True,0.2,400,13,2,100,6,0.1,0.8,100,0.1,100,0.1
RandomForest,0.3,0.9390243902439024,0.9397905759162304,0.9990723562152134,0.9685251798561151,0.9866251374129718,0.07664694070041267,0.6807845216008481,0.960905041980389,1077,69,1,1,run021,2010,True,0.2,400,13,2,100,6,0.1,0.8,100,0.1,100,0.1
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run022,2010,True,0.2,100,7,2,100,6,0.2,0.8,100,0.1,100,0.1
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run022,2010,True,0.2,100,7,2,100,6,0.2,0.8,100,0.1,100,0.1
XGBoost,0.3,0.9346689895470384,0.9505840071877808,0.9814471243042672,0.9657690552259243,0.9751152073732718,0.2724209421244472,0.6190432016962628,0.9527556533332511,1058,55,15,20,run022,2010,True,0.2,100,7,2,100,6,0.2,0.8,100,0.1,100,0.1
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run023,2010,True,0.2,100,7,2,200,6,0.1,0.8,100,0.1,100,0.1
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run023,2010,True,0.2,100,7,2,200,6,0.1,0.8,100,0.1,100,0.1
XGBoost,0.3,0.9372822299651568,0.9499105545617174,0.9851576994434137,0.9672131147540983,0.9779005524861878,0.27772734817294753,0.6359130665253114,0.9554351517345201,1062,56,14,16,run023,2010,True,0.2,100,7,2,200,6,0.1,0.8,100,0.1,100,0.1
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run024,2010,True,0.2,100,7,2,200,6,0.2,0.8,100,0.1,100,0.1
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run024,2010,True,0.2,100,7,2,200,6,0.2,0.8,100,0.1,100,0.1
XGBoost,0.3,0.9259581881533101,0.946894689468947,0.9758812615955473,0.9611694837825491,0.9699428360685968,0.18023158392068733,0.5978796713490592,0.951285263442948,1052,59,11,26,run024,2010,True,0.2,100,7,2,200,6,0.2,0.8,100,0.1,100,0.1
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run025,2010,True,0.2,100,7,2,300,6,0.1,0.8,100,0.1,100,0.1
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run025,2010,True,0.2,100,7,2,300,6,0.1,0.8,100,0.1,100,0.1
XGBoost,0.3,0.9259581881533101,0.9493212669683257,0.9730983302411874,0.9610627576729271,0.9682481078087503,0.21814030307569918,0.6209382454280413,0.9532917839113,1049,56,14,29,run025,2010,True,0.2,100,7,2,300,6,0.1,0.8,100,0.1,100,0.1
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run026,2010,True,0.2,100,7,2,300,6,0.2,0.8,100,0.1,100,0.1
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run026,2010,True,0.2,100,7,2,300,6,0.2,0.8,100,0.1,100,0.1
XGBoost,0.3,0.9277003484320557,0.9469901168014375,0.9777365491651205,0.9621177544500228,0.9714285714285714,0.1877251421085053,0.5894116087993639,0.9519117236187601,1054,59,11,24,run026,2010,True,0.2,100,7,2,300,6,0.2,0.8,100,0.1,100,0.1
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run027,2010,True,0.2,100,7,2,400,6,0.1,0.8,100,0.1,100,0.1
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run027,2010,True,0.2,100,7,2,400,6,0.1,0.8,100,0.1,100,0.1
XGBoost,0.3,0.9242160278745645,0.9484162895927601,0.9721706864564007,0.9601465872652314,0.9673250876869116,0.19896827215157556,0.6136231115822953,0.9533493398872365,1048,57,13,30,run027,2010,True,0.2,100,7,2,400,6,0.1,0.8,100,0.1,100,0.1
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run028,2010,True,0.2,100,7,2,400,6,0.2,0.8,100,0.1,100,0.1
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run028,2010,True,0.2,100,7,2,400,6,0.2,0.8,100,0.1,100,0.1
XGBoost,0.3,0.9277003484320557,0.9477947794779478,0.9768089053803339,0.9620831429876656,0.970864834962198,0.20084384316963622,0.5815001325205407,0.9505314796341687,1053,58,12,25,run028,2010,True,0.2,100,7,2,400,6,0.2,0.8,100,0.1,100,0.1
Baseline_Majority,0.5,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run029,2010,True,0.2,100,7,2,100,6,0.1,0.8,100,0.1,100,0.1
Baseline_PriorRate,0.5,0.8501742160278746,0.9364161849710982,0.9016697588126159,0.9187145557655955,0.908411214953271,-0.03348324883351259,0.5,0.9390243902439024,972,66,4,106,run029,2010,True,0.2,100,7,2,100,6,0.1,0.8,100,0.1,100,0.1
RandomForest,0.5,0.9398954703832753,0.9565610859728507,0.9805194805194806,0.9683921209344938,0.9756322687834594,0.3715165504686881,0.7056453750331301,0.9635557564292642,1057,48,22,21,run029,2010,True,0.2,100,7,2,100,6,0.1,0.8,100,0.1,100,0.1
XGBoost,0.5,0.8684668989547039,0.9575518262586377,0.8998144712430427,0.9277857484457197,0.9107981220657277,0.21209803654910572,0.653167240922343,0.9595261138125399,970,43,27,108,run029,2010,True,0.2,100,7,2,100,6,0.1,0.8,100,0.1,100,0.1
AdaBoost,0.5,0.8754355400696864,0.95968534906588,0.9053803339517625,0.9317422434367542,0.9157440420341527,0.24057959442465776,0.7043996819507023,0.9649008578696274,976,41,29,102,run029,2010,True,0.2,100,7,2,100,6,0.1,0.8,100,0.1,100,0.1
RUSBoost,0.5,0.8841463414634146,0.9565217391304348,0.9183673469387755,0.9370563180312352,0.9257527585561998,0.22130268965497044,0.6888218923933209,0.9630828692644076,990,45,25,88,run029,2010,True,0.2,100,7,2,100,6,0.1,0.8,100,0.1,100,0.1
Baseline_Majority,0.5,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run030,2010,True,0.2,100,7,2,100,6,0.1,0.8,100,0.1,100,0.2
Baseline_PriorRate,0.5,0.8501742160278746,0.9364161849710982,0.9016697588126159,0.9187145557655955,0.908411214953271,-0.03348324883351259,0.5,0.9390243902439024,972,66,4,106,run030,2010,True,0.2,100,7,2,100,6,0.1,0.8,100,0.1,100,0.2
RUSBoost,0.5,0.8327526132404182,0.9576446280991735,0.859925788497217,0.906158357771261,0.8778409090909091,0.1804555061862897,0.6848992843890804,0.9620388698017703,927,41,29,151,run030,2010,True,0.2,100,7,2,100,6,0.1,0.8,100,0.1,100,0.2
Baseline_Majority,0.5,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run031,2010,True,0.2,100,7,2,100,6,0.1,0.8,100,0.1,200,0.1
Baseline_PriorRate,0.5,0.8501742160278746,0.9364161849710982,0.9016697588126159,0.9187145557655955,0.908411214953271,-0.03348324883351259,0.5,0.9390243902439024,972,66,4,106,run031,2010,True,0.2,100,7,2,100,6,0.1,0.8,100,0.1,200,0.1
RUSBoost,0.5,0.8841463414634146,0.9565217391304348,0.9183673469387755,0.9370563180312352,0.9257527585561998,0.22130268965497044,0.6888218923933209,0.9630828692644076,990,45,25,88,run031,2010,True,0.2,100,7,2,100,6,0.1,0.8,100,0.1,200,0.1
Baseline_Majority,0.5,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run032,2010,True,0.2,100,7,2,100,6,0.1,0.8,100,0.1,200,0.2
Baseline_PriorRate,0.5,0.8501742160278746,0.9364161849710982,0.9016697588126159,0.9187145557655955,0.908411214953271,-0.03348324883351259,0.5,0.9390243902439024,972,66,4,106,run032,2010,True,0.2,100,7,2,100,6,0.1,0.8,100,0.1,200,0.2
RUSBoost,0.5,0.8327526132404182,0.9576446280991735,0.859925788497217,0.906158357771261,0.8778409090909091,0.1804555061862897,0.6848992843890804,0.9620388698017703,927,41,29,151,run032,2010,True,0.2,100,7,2,100,6,0.1,0.8,100,0.1,200,0.2
