model,threshold,accuracy,precision,recall,f1,f2,mcc,auc_roc,auc_pr,TP,FP,TN,FN,run_id,cut_year,apply_smote,smote_strategy,rf_n_estimators,rf_max_depth,rf_min_samples_leaf,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_subsample,ada_n_estimators,ada_learning_rate,rus_n_estimators,rus_learning_rate,logit_C,logit_penalty,svm_C,svm_kernel,svm_gamma,mlp_hidden_layer_sizes,mlp_alpha,mlp_learning_rate_init,mlp_activation
RandomForest,0.3,0.9390243902439024,0.9397905759162304,0.9990723562152134,0.9685251798561151,0.9866251374129718,0.07664694070041267,0.6807845216008481,0.960905041980389,1077,69,1,1,run038,2010,True,0.2,400,13,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.3,0.9329268292682927,0.9464763603925067,0.9842300556586271,0.9649840836743975,0.9764402724093503,0.20066679688362613,0.6259607739199575,0.9539908191983452,1061,60,10,17,run039,2010,True,0.2,100,7,2,200,7,0.1,1.0,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.3,0.9398954703832753,0.9484444444444444,0.9897959183673469,0.9686790739900136,0.9812396542210778,0.2753272724782715,0.6300026504108137,0.9514022303589256,1067,58,12,11,run040,2010,True,0.2,100,7,2,200,10,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.3,0.9294425087108014,0.946284691136974,0.9805194805194806,0.9630979498861048,0.9734757782280347,0.1821309894979439,0.6243175192154784,0.954840193560385,1057,60,10,21,run041,2010,True,0.2,100,7,2,200,10,0.1,1.0,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.3,0.9416376306620209,0.9485359361135759,0.9916512059369202,0.9696145124716553,0.9827174112888398,0.2911970056987724,0.6431486880466473,0.9567224567125692,1069,58,12,9,run042,2010,True,0.2,100,7,2,200,13,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.3,0.9355400696864111,0.9474153297682709,0.9860853432282004,0.9663636363636363,0.9781008465218991,0.23035828317305188,0.6010601643254704,0.9513530546014202,1063,59,11,15,run043,2010,True,0.2,100,7,2,200,13,0.1,1.0,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.3,0.9181184668989547,0.948905109489051,0.9647495361781077,0.9567617295308187,0.9615384615384616,0.18957263737917016,0.5848794063079776,0.9507285156779693,1040,56,14,38,run044,2010,True,0.2,100,7,2,200,7,0.2,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.3,0.9146341463414634,0.9462659380692168,0.963821892393321,0.9549632352941176,0.9602587800369686,0.14181790280123488,0.6113437582825338,0.9543061160244508,1039,59,11,39,run045,2010,True,0.2,100,7,2,200,7,0.2,1.0,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.3,0.936411149825784,0.9482604817127565,0.9860853432282004,0.9668030923146885,0.9782808761273698,0.24870965044408552,0.6093029419560032,0.9539524744799044,1063,58,12,15,run046,2010,True,0.2,100,7,2,200,10,0.2,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.3,0.9398954703832753,0.9460654288240495,0.9925788497217068,0.9687641466727026,0.9829138342825647,0.24000873800382821,0.5843758282533792,0.9500730029369637,1070,61,9,8,run047,2010,True,0.2,100,7,2,200,10,0.2,1.0,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
